signal,spearman_rho,p_value,n_pairs,note
hs_l2_diff_l21_rolling64,-0.22747311436794512,0.0,52644,rolling mean (window=64)
hs_l2_diff_l20_rolling64,-0.22358715795619785,0.0,52644,rolling mean (window=64)
hs_l2_diff_l22_rolling64,-0.2172360570804958,0.0,52644,rolling mean (window=64)
hs_l2_diff_l19_rolling64,-0.207784287454196,0.0,52644,rolling mean (window=64)
hs_l2_diff_l23_rolling64,-0.19954745183199205,0.0,52644,rolling mean (window=64)
hs_l2_diff_l17_rolling64,-0.19123584632089913,0.0,52644,rolling mean (window=64)
hs_l2_diff_l24_rolling64,-0.18808206246784984,0.0,52644,rolling mean (window=64)
hs_l2_diff_l25_rolling64,-0.1869789717615734,0.0,52644,rolling mean (window=64)
hs_l2_diff_l18_rolling64,-0.18364561256140635,0.0,52644,rolling mean (window=64)
hs_l2_diff_l21_ema09,-0.17275557409083428,0.0,52644,
hs_l2_diff_l22_ema09,-0.16817529293712358,0.0,52644,
hs_l2_diff_l16_rolling64,-0.165173760652571,0.0,52644,rolling mean (window=64)
hs_l2_diff_l20_ema09,-0.16412860873657886,0.0,52644,
hs_l2_diff_l26_rolling64,-0.15667150085491086,1.8132460084826388e-286,52644,rolling mean (window=64)
hs_l2_diff_l23_ema09,-0.15650114205106008,7.658166518056143e-286,52644,
hs_l2_diff_l7_rolling64,0.15578554154614707,3.1950594072637753e-283,52644,rolling mean (window=64)
hs_l2_diff_l8_rolling64,0.15506575405834622,1.3411205976710387e-280,52644,rolling mean (window=64)
hs_l2_diff_l6_rolling64,0.15009154884711542,8.066381764383665e-263,52644,rolling mean (window=64)
hs_l2_diff_l19_ema09,-0.14801096874100036,1.4577179490870845e-255,52644,
hs_l2_diff_l15_rolling64,-0.14651379855034788,2.0911665291158222e-250,52644,rolling mean (window=64)
hs_l2_diff_l24_ema09,-0.14338855598670627,8.105035562726377e-240,52644,
hs_l2_diff_l25_ema09,-0.1391734789964373,6.51142172039441e-226,52644,
attn_entropy,-0.13890600836734496,4.802761643638356e-225,52644,
hs_l2_diff_l9_rolling64,0.13025224005027042,6.708718293945825e-198,52644,rolling mean (window=64)
hs_l2_diff_l8_ema09,0.1280450647234839,2.8942156281523866e-191,52644,
hs_l2_diff_l7_ema09,0.1277170130458327,2.739621921659912e-190,52644,
