signal,spearman_rho,p_value,n_pairs,note
kv_key_norm_rolling64,-0.2603640144906938,0.0,66738,rolling mean (window=64)
kv_key_norm_preRoPE_rolling64,-0.26032751564307827,0.0,66738,rolling mean (window=64)
kv_key_var_preRoPE_rolling64,-0.2593955604335729,0.0,66738,rolling mean (window=64)
kv_key_var_rolling64,-0.2593013059277191,0.0,66738,rolling mean (window=64)
kv_key_norm_ema09,-0.24662977763692615,0.0,66738,
kv_key_norm_preRoPE_ema09,-0.2465941087421737,0.0,66738,
kv_key_var_preRoPE_ema09,-0.24599340728616045,0.0,66738,
kv_key_var_ema09,-0.24592275476426897,0.0,66738,
hs_l2_diff_l1_rolling64,-0.20838153638278398,0.0,66738,rolling mean (window=64)
hs_l2_diff_l0_rolling64,-0.2082365784333253,0.0,66738,rolling mean (window=64)
hs_l2_diff_l16_rolling64,-0.20453232380560024,0.0,66738,rolling mean (window=64)
kv_key_var_preRoPE,-0.2028805681067251,0.0,66738,
kv_key_var,-0.20288009907205595,0.0,66738,
kv_key_norm,-0.20239359722590042,0.0,66738,
kv_key_norm_preRoPE,-0.2023595135094584,0.0,66738,
hs_l2_diff_l15_rolling64,-0.2007712953126033,0.0,66738,rolling mean (window=64)
hs_l2_diff_rolling64,-0.19611649341774526,0.0,66738,rolling mean (window=64)
hs_l2_diff_l31_rolling64,-0.19611649341774526,0.0,66738,rolling mean (window=64)
hs_l2_diff_l0_ema09,-0.19070218605477204,0.0,66738,
hs_l2_diff_l4_rolling64,-0.19061481999890895,0.0,66738,rolling mean (window=64)
hs_l2_diff_l1_ema09,-0.18857517580090463,0.0,66738,
hs_l2_diff_ema09,-0.17606572204539528,0.0,66738,
hs_l2_diff_l31_ema09,-0.17606572204539528,0.0,66738,
cross_head_var,-0.1751726037029086,0.0,66738,
hs_l2_diff_l17_rolling64,-0.17285610105376928,0.0,66738,rolling mean (window=64)
hs_l2_diff_l16_ema09,-0.16591351892215658,0.0,66738,
hs_l2_diff_l4_ema09,-0.16290971591175132,0.0,66738,
hs_l2_diff_l15_ema09,-0.16005229782917704,0.0,66738,
hs_l2_diff_l2_rolling64,-0.15807018908161763,0.0,66738,rolling mean (window=64)
hs_l2_diff_l3_rolling64,-0.1498785254705885,0.0,66738,rolling mean (window=64)
hs_l2_diff_l2_ema09,-0.14473177774685328,3.515612213450465e-309,66738,
hs_l2_diff_l17_ema09,-0.1436633787597944,1.2858171116090477e-304,66738,
hs_l2_diff_l3_ema09,-0.13370875848182998,8.692710746852227e-264,66738,
hs_l2_diff_l18_rolling64,-0.12935297493855813,7.094321110365323e-247,66738,rolling mean (window=64)
hs_l2_diff_l1,-0.10997220926848365,1.3198288487305546e-178,66738,
hs_l2_diff_l0,-0.10557673505681966,1.0702061517562804e-164,66738,
hs_l2_diff_l18_ema09,-0.10468135501216942,6.19207477168438e-162,66738,
hs_l2_diff_l5_rolling64,-0.10462791208808181,9.03558487416374e-162,66738,rolling mean (window=64)
hs_cos_dist_l1,-0.10009831621830324,3.596590720283911e-148,66738,
hs_l2_diff_l19_rolling64,-0.09862115271461075,7.221173952227497e-144,66738,rolling mean (window=64)
hs_l2_diff,-0.09501421960293267,1.2355667111255222e-133,66738,
hs_l2_diff_l31,-0.09501421960293267,1.2355667111255222e-133,66738,
hs_l2_diff_l5_ema09,-0.09441587603947739,5.649398844424124e-132,66738,
hs_l2_diff_l4,-0.08980091585842373,1.5819824632141367e-119,66738,
hs_l2_diff_l2,-0.08277755244082426,8.537677098179952e-102,66738,
hs_cos_dist_l0,-0.08151280043326513,9.323991875734532e-99,66738,
hs_cos_dist_l2,-0.07935033513266777,1.1352610687839803e-93,66738,
hs_l2_diff_l11_rolling64,0.07928922229884916,1.5733035126126193e-93,66738,rolling mean (window=64)
hs_l2_diff_l16,-0.07806804361313982,1.0129342297353564e-90,66738,
hs_l2_diff_l19_ema09,-0.07701732405323934,2.438577406226264e-88,66738,
hs_cos_dist,-0.07590671592029016,7.397950084882313e-86,66738,
hs_cos_dist_l31,-0.07590671592029016,7.397950084882313e-86,66738,
hs_l2_diff_l14_rolling64,-0.07574600397031231,1.6798219318076092e-85,66738,rolling mean (window=64)
hs_l2_diff_l12_rolling64,0.07552238254567349,5.242810184799481e-85,66738,rolling mean (window=64)
hs_l2_diff_l15,-0.07514685112398509,3.5183898838593233e-84,66738,
hs_l2_diff_l3,-0.07468821947677082,3.551853933901428e-83,66738,
hs_l2_diff_l14_ema09,-0.07154537948319835,1.8407073596670472e-76,66738,
hs_cos_dist_l4,-0.06575938916783709,7.391135442557661e-65,66738,
hs_l2_diff_l17,-0.0646574971299029,9.276925199994006e-63,66738,
hs_cos_dist_l3,-0.06267847447153632,4.441733454051787e-59,66738,
hs_l2_diff_l5,-0.061176129370821716,2.3166750012018532e-56,66738,
hs_cos_dist_l30,-0.06058508128439625,2.6051730565291275e-55,66738,
hs_norm,-0.055667131061352335,5.8285607834900195e-47,66738,
hs_l2_diff_l9_rolling64,0.05437221217400163,7.028840879223086e-45,66738,rolling mean (window=64)
hs_l2_diff_l6_ema09,-0.05128864782926581,4.043133109823245e-40,66738,
hs_cos_dist_l5,-0.05014700391018009,1.9901294204683952e-38,66738,
hs_cos_dist_l29,-0.04979929180938845,6.408353925434525e-38,66738,
hs_l2_diff_l6_rolling64,-0.048421378428524224,6.092658162635867e-36,66738,rolling mean (window=64)
hs_l2_diff_l18,-0.0430735245348036,8.721237428374412e-29,66738,
hs_l2_diff_l6,-0.04260377199589645,3.3851725801429167e-28,66738,
hs_l2_diff_l29_rolling64,-0.04218390646208143,1.1236535922081134e-27,66738,rolling mean (window=64)
hs_cos_dist_l28,-0.04108470779632456,2.458129498846909e-26,66738,
hs_l2_diff_l14,-0.04079463449260609,5.475146507903976e-26,66738,
hs_cos_dist_l16,-0.040307592858447476,2.0743492649365827e-25,66738,
hs_l2_diff_l11_ema09,0.040306812988811114,2.078752016082394e-25,66738,
hs_l2_diff_l10_rolling64,0.040008654799185715,4.6618161665375695e-25,66738,rolling mean (window=64)
hs_l2_diff_l8_rolling64,0.037065570315200316,9.844575897648145e-22,66738,rolling mean (window=64)
hs_l2_diff_l20_rolling64,-0.03687996693357174,1.5649259033250038e-21,66738,rolling mean (window=64)
hs_cos_dist_l18,-0.035139677361225995,1.0806471650571083e-19,66738,
hs_l2_diff_l30_rolling64,-0.03467617649799688,3.2272363241157233e-19,66738,rolling mean (window=64)
hs_l2_diff_l25_rolling64,-0.03433565255238423,7.144547792820623e-19,66738,rolling mean (window=64)
hs_l2_diff_l19,-0.03283846365339058,2.147575166041253e-17,66738,
hs_cos_dist_l17,-0.0323434714839452,6.403692509907761e-17,66738,
hs_l2_diff_l12_ema09,0.03202494208471393,1.282460487368807e-16,66738,
hs_cos_dist_l26,-0.03200769750815768,1.3313422963105994e-16,66738,
hs_cos_dist_l19,-0.030505121864971087,3.2144015388058725e-15,66738,
hs_l2_diff_l25_ema09,-0.03016931529516879,6.416490791752328e-15,66738,
hs_l2_diff_l27_rolling64,-0.02960547678490463,2.014124983905859e-14,66738,rolling mean (window=64)
hs_cos_dist_l15,-0.02954373433202802,2.27999592069407e-14,66738,
hs_cos_dist_l25,-0.028883453547376148,8.452197964138029e-14,66738,
hs_l2_diff_l29_ema09,-0.02829473314486595,2.653533029212181e-13,66738,
hs_cos_dist_l27,-0.028281596199126117,2.721438799692452e-13,66738,
hs_l2_diff_l20_ema09,-0.028036946916343012,4.3477855506529603e-13,66738,
hs_cos_dist_l20,-0.027832029640754954,6.417681147104906e-13,66738,
hs_l2_diff_l7,-0.027074568050880984,2.642888502924189e-12,66738,
hs_l2_diff_l9_ema09,0.026666488007114224,5.577814168716629e-12,66738,
hs_cos_dist_l22,-0.026261067151659698,1.1588723408251124e-11,66738,
hs_cos_dist_l6,-0.026200588707426562,1.2912425102262185e-11,66738,
hs_l2_diff_l7_ema09,-0.02527864937565406,6.518755607625012e-11,66738,
hs_cos_dist_l24,-0.024734722579968674,1.6507221167043167e-10,66738,
hs_cos_dist_l21,-0.02365996618559444,9.77842036255597e-10,66738,
hs_l2_diff_l30_ema09,-0.023356872797120138,1.593032973605251e-09,66738,
hs_cos_dist_l12,-0.02149180410109818,2.8134653497615745e-08,66738,
hs_l2_diff_l13,-0.021310287680975263,3.675840064060411e-08,66738,
hs_l2_diff_l27_ema09,-0.020287606855287497,1.5929330910785387e-07,66738,
hs_cos_dist_l23,-0.019896946282622736,2.739649384401583e-07,66738,
hs_cos_dist_l14,-0.019707691585280983,3.5500809299096324e-07,66738,
hs_l2_diff_l25,-0.016950724831147842,1.1909840083911802e-05,66738,
hs_l2_diff_l13_ema09,-0.01652267821967824,1.966768803135224e-05,66738,
hs_l2_diff_l20,-0.01637996845685588,2.318735191059132e-05,66738,
hs_l2_diff_l24_rolling64,0.015590932883357526,5.628109572979509e-05,66738,rolling mean (window=64)
hs_cos_dist_l11,0.01536300349450295,7.217732284610178e-05,66738,
hs_cos_dist_l9,0.014308260571326203,0.00021861556047225484,66738,
hs_l2_diff_l8_ema09,0.01412564231713077,0.0002629665108741535,66738,
hs_l2_diff_l11,0.013852227694228988,0.0003453769918556921,66738,
hs_cos_dist_l10,0.013838570835353198,0.00035006871487485694,66738,
hs_l2_diff_l30,-0.013587714395453771,0.0004475921041464122,66738,
hs_l2_diff_l10_ema09,0.013503640326972984,0.000485587150584372,66738,
hs_l2_diff_l29,-0.012843421550358988,0.0009066268452066837,66738,
hs_cos_dist_l13,-0.012816130886884871,0.0009297828584224837,66738,
hs_l2_diff_l26_rolling64,-0.012689499473696362,0.0010445740761315487,66738,rolling mean (window=64)
hs_l2_diff_l21_rolling64,-0.011258892829399736,0.0036302065153872944,66738,rolling mean (window=64)
hs_l2_diff_l7_rolling64,-0.010387657736302626,0.007284761865828275,66738,rolling mean (window=64)
hs_l2_diff_l21,-0.010223278571356643,0.00826445079804181,66738,
hs_l2_diff_l21_ema09,-0.009872006576826147,0.010762444565751796,66738,
hs_l2_diff_l22,-0.009701554605266595,0.01220081165702757,66738,
hs_l2_diff_l26_ema09,-0.009254232258556863,0.01681551301534297,66738,
hs_l2_diff_l24_ema09,0.009247063182759472,0.016900521091684884,66738,
hs_l2_diff_l13_rolling64,0.00915813818280333,0.017986732286190587,66738,rolling mean (window=64)
hs_l2_diff_l27,-0.008376606369281323,0.030465523747568966,66738,
