signal,spearman_rho,p_value,n_pairs,note
hs_l2_diff_l15_rolling64,-0.35083729398777774,0.0,200881,rolling mean (window=64)
hs_l2_diff_l16_rolling64,-0.34795402178209106,0.0,200881,rolling mean (window=64)
hs_l2_diff_l17_rolling64,-0.34304942196860677,0.0,200881,rolling mean (window=64)
hs_l2_diff_l18_rolling64,-0.34148103778160516,0.0,200881,rolling mean (window=64)
hs_l2_diff_l30_rolling64,-0.33309933951359727,0.0,200881,rolling mean (window=64)
hs_l2_diff_l19_rolling64,-0.331362972859209,0.0,200881,rolling mean (window=64)
hs_l2_diff_l18_ema09,-0.3247894578267134,0.0,200881,
hs_l2_diff_l19_ema09,-0.32239744695201666,0.0,200881,
hs_l2_diff_l14_rolling64,-0.32019583682559566,0.0,200881,rolling mean (window=64)
hs_l2_diff_l29_rolling64,-0.3191868358545547,0.0,200881,rolling mean (window=64)
hs_l2_diff_l17_ema09,-0.31712993685680796,0.0,200881,
hs_l2_diff_l20_rolling64,-0.3170520275173889,0.0,200881,rolling mean (window=64)
hs_l2_diff_l30_ema09,-0.31618348394343715,0.0,200881,
attn_entropy,-0.3125727074804867,0.0,200881,
hs_l2_diff_l20_ema09,-0.31089393095440704,0.0,200881,
hs_l2_diff_l16_ema09,-0.3079601928837557,0.0,200881,
hs_l2_diff_l28_rolling64,-0.3078902202990421,0.0,200881,rolling mean (window=64)
hs_l2_diff_l21_rolling64,-0.3025549104259063,0.0,200881,rolling mean (window=64)
hs_l2_diff_l27_rolling64,-0.30213614583392484,0.0,200881,rolling mean (window=64)
hs_l2_diff_l15_ema09,-0.2972908090947132,0.0,200881,
hs_l2_diff_l29_ema09,-0.29408888702851144,0.0,200881,
hs_l2_diff_l21_ema09,-0.29256169070587373,0.0,200881,
hs_l2_diff_l26_rolling64,-0.29085878758769,0.0,200881,rolling mean (window=64)
hs_l2_diff_l25_rolling64,-0.28754364159938983,0.0,200881,rolling mean (window=64)
hs_l2_diff_l22_rolling64,-0.2848082782467991,0.0,200881,rolling mean (window=64)
hs_l2_diff_l28_ema09,-0.27911741466098217,0.0,200881,
kv_key_var_preRoPE_ema09,-0.2765222835657183,0.0,200881,
kv_key_var_ema09,-0.276416869612738,0.0,200881,
kv_key_norm_preRoPE_ema09,-0.27478400137410003,0.0,200881,
hs_l2_diff_l24_rolling64,-0.2747629503434808,0.0,200881,rolling mean (window=64)
kv_key_norm_ema09,-0.2747440173371636,0.0,200881,
hs_l2_diff_l27_ema09,-0.27220930067263344,0.0,200881,
hs_l2_diff_l23_rolling64,-0.2683519441544546,0.0,200881,rolling mean (window=64)
hs_l2_diff_l25_ema09,-0.26692379465184035,0.0,200881,
hs_l2_diff_l26_ema09,-0.2658947965770439,0.0,200881,
hs_l2_diff_l22_ema09,-0.2655322861842264,0.0,200881,
kv_key_var_preRoPE_rolling64,-0.261277976933795,0.0,200881,rolling mean (window=64)
kv_key_var_rolling64,-0.26121722837622796,0.0,200881,rolling mean (window=64)
kv_key_norm_preRoPE_rolling64,-0.26053968942904093,0.0,200881,rolling mean (window=64)
kv_key_norm_rolling64,-0.26052887798159624,0.0,200881,rolling mean (window=64)
hs_l2_diff_l14_ema09,-0.25005607680729025,0.0,200881,
hs_l2_diff_l24_ema09,-0.2448584451033208,0.0,200881,
hs_l2_diff_l23_ema09,-0.23927952602625047,0.0,200881,
hs_l2_diff_l13_rolling64,-0.23693869896737435,0.0,200881,rolling mean (window=64)
hs_l2_diff_l31_rolling64,0.23121632205504952,0.0,200881,rolling mean (window=64)
hs_l2_diff_rolling64,0.23121632205504952,0.0,200881,rolling mean (window=64)
kv_key_var_preRoPE,-0.22646511558291527,0.0,200881,
kv_key_var,-0.22631786770227458,0.0,200881,
kv_key_norm_preRoPE,-0.22403379377950752,0.0,200881,
kv_key_norm,-0.22396095540129124,0.0,200881,
hs_l2_diff_ema09,0.2032945603436683,0.0,200881,
hs_l2_diff_l31_ema09,0.2032945603436683,0.0,200881,
cross_head_var,-0.19565682488269365,0.0,200881,
hs_l2_diff_l0_rolling64,0.1813231394994323,0.0,200881,rolling mean (window=64)
hs_l2_diff_l13_ema09,-0.17893114353388295,0.0,200881,
hs_l2_diff_l5_rolling64,0.16395562049973006,0.0,200881,rolling mean (window=64)
hs_l2_diff_l3_rolling64,0.1628155918819526,0.0,200881,rolling mean (window=64)
hs_l2_diff_l0_ema09,0.1577567395441202,0.0,200881,
hs_l2_diff_l4_rolling64,0.15681042520497726,0.0,200881,rolling mean (window=64)
hs_l2_diff_l6_rolling64,0.1513739388144181,0.0,200881,rolling mean (window=64)
hs_l2_diff_l30,-0.1384265458915341,0.0,200881,
hs_l2_diff_l2_rolling64,0.13722020482815844,0.0,200881,rolling mean (window=64)
hs_l2_diff_l1_rolling64,0.13644275190297928,0.0,200881,rolling mean (window=64)
hs_l2_diff_l5_ema09,0.13266854280664508,0.0,200881,
hs_l2_diff_l3_ema09,0.12714782212852366,0.0,200881,
hs_l2_diff_l19,-0.12480287055087723,0.0,200881,
hs_l2_diff_l4_ema09,0.12377314874630833,0.0,200881,
hs_l2_diff_l20,-0.12235150414204012,0.0,200881,
hs_l2_diff_l18,-0.12091164818049202,0.0,200881,
hs_l2_diff_l12_rolling64,-0.12065205278152175,0.0,200881,rolling mean (window=64)
hs_l2_diff_l17,-0.11951421338230576,0.0,200881,
hs_l2_diff_l21,-0.11941699981024963,0.0,200881,
hs_l2_diff_l6_ema09,0.11875692722459426,0.0,200881,
hs_l2_diff_l1_ema09,0.11834181687757903,0.0,200881,
hs_l2_diff_l29,-0.11737650273005264,0.0,200881,
hs_l2_diff_l12_ema09,-0.11624908425061767,0.0,200881,
hs_l2_diff_l2_ema09,0.11314563563772245,0.0,200881,
hs_l2_diff_l16,-0.11303160165177756,0.0,200881,
hs_l2_diff_l15,-0.1085265746519437,0.0,200881,
hs_l2_diff_l22,-0.10761951946439001,0.0,200881,
hs_l2_diff_l25,-0.10613969183248272,0.0,200881,
hs_l2_diff_l28,-0.10398893624914735,0.0,200881,
hs_l2_diff_l26,-0.10161406870452436,0.0,200881,
hs_l2_diff_l27,-0.1008737921569394,0.0,200881,
hs_l2_diff_l23,-0.09860950695604405,0.0,200881,
hs_l2_diff_l11_rolling64,-0.09840511009579188,0.0,200881,rolling mean (window=64)
hs_l2_diff_l24,-0.09814791611092798,0.0,200881,
hs_l2_diff_l11_ema09,-0.09539294074977134,0.0,200881,
hs_l2_diff,0.08733155026333027,0.0,200881,
hs_l2_diff_l31,0.08733155026333027,0.0,200881,
hs_cos_dist_l2,0.08668964546318972,0.0,200881,
h2o_attn,-0.0860295696415472,0.0,200881,
hs_cos_dist_l1,0.08314521692684676,5.374512819105103e-305,200881,
hs_cos_dist_l4,0.08182832784556557,1.9001316666090711e-295,200881,
hs_cos_dist_l3,0.0808430094284532,2.099898445886692e-288,200881,
hs_l2_diff_l14,-0.0800877845479923,4.596065172360015e-283,200881,
hs_cos_dist_l0,0.07968975153779298,2.860719896877199e-280,200881,
hs_l2_diff_l7_rolling64,0.07578704646127943,1.2800207190619054e-253,200881,rolling mean (window=64)
hs_l2_diff_l0,0.0737092454089432,5.557925520750145e-240,200881,
hs_cos_dist_l28,0.07122710766399487,3.428700274912161e-224,200881,
hs_cos_dist_l5,0.06854278146274928,9.952917318042955e-208,200881,
hs_norm,0.06679544918415334,2.3548994414957746e-197,200881,
hs_l2_diff_l10_ema09,-0.06577955417438287,1.9029511714646816e-191,200881,
hs_l2_diff_l8_rolling64,0.05992765567093181,3.432198710192697e-159,200881,rolling mean (window=64)
