signal,spearman_rho,p_value,n_pairs,note
kv_key_var_rolling64,0.3798017517809197,0.0,172078,rolling mean (window=64)
kv_key_var_preRoPE_rolling64,0.3797315912206553,0.0,172078,rolling mean (window=64)
kv_key_norm_preRoPE_rolling64,0.3792916600575892,0.0,172078,rolling mean (window=64)
kv_key_norm_rolling64,0.3790311885562968,0.0,172078,rolling mean (window=64)
kv_key_var_ema09,0.35552123113691086,0.0,172078,
kv_key_var_preRoPE_ema09,0.35545776159571524,0.0,172078,
kv_key_norm_preRoPE_ema09,0.35472561422692933,0.0,172078,
kv_key_norm_ema09,0.35445965133359314,0.0,172078,
kv_key_var,0.2877844203019766,0.0,172078,
kv_key_var_preRoPE,0.28769948129229195,0.0,172078,
kv_key_norm_preRoPE,0.28717102607524353,0.0,172078,
kv_key_norm,0.2869233365620466,0.0,172078,
hs_l2_diff_l23_rolling64,-0.2535737973865071,0.0,172078,rolling mean (window=64)
hs_l2_diff_l24_rolling64,-0.25018620653385815,0.0,172078,rolling mean (window=64)
hs_l2_diff_l25_rolling64,-0.2432141114450174,0.0,172078,rolling mean (window=64)
hs_l2_diff_l22_rolling64,-0.22323657938264596,0.0,172078,rolling mean (window=64)
hs_l2_diff_l23_ema09,-0.22195873405008457,0.0,172078,
hs_l2_diff_rolling64,0.21963810949639268,0.0,172078,rolling mean (window=64)
hs_l2_diff_l31_rolling64,0.21963810949639268,0.0,172078,rolling mean (window=64)
hs_l2_diff_l24_ema09,-0.21571087593455548,0.0,172078,
hs_l2_diff_l26_rolling64,-0.2113741633348768,0.0,172078,rolling mean (window=64)
hs_l2_diff_l21_rolling64,-0.209095600822004,0.0,172078,rolling mean (window=64)
hs_l2_diff_l25_ema09,-0.208878491982398,0.0,172078,
hs_l2_diff_ema09,0.2071611005405504,0.0,172078,
hs_l2_diff_l31_ema09,0.2071611005405504,0.0,172078,
cross_head_var,0.20652845350623067,0.0,172078,
hs_l2_diff_l22_ema09,-0.19347687630368118,0.0,172078,
hs_l2_diff_l20_rolling64,-0.19051254186941885,0.0,172078,rolling mean (window=64)
hs_l2_diff_l21_ema09,-0.17968092852191161,0.0,172078,
hs_l2_diff_l26_ema09,-0.17822705436152322,0.0,172078,
hs_l2_diff_l0_rolling64,-0.17313669819786434,0.0,172078,rolling mean (window=64)
hs_l2_diff_l1_rolling64,-0.17187081614109034,0.0,172078,rolling mean (window=64)
hs_l2_diff_l20_ema09,-0.16281372387078832,0.0,172078,
hs_l2_diff_l4_rolling64,-0.15295086078909997,0.0,172078,rolling mean (window=64)
hs_l2_diff_l19_rolling64,-0.1470377802128219,0.0,172078,rolling mean (window=64)
kv_val_var_rolling64,-0.1352811203223673,0.0,172078,rolling mean (window=64)
hs_l2_diff_l30_rolling64,0.13493142076634784,0.0,172078,rolling mean (window=64)
hs_cos_dist_l0,-0.1311242822398598,0.0,172078,
hs_l2_diff_l0_ema09,-0.12587272099110097,0.0,172078,
hs_l2_diff_l1_ema09,-0.12312779744095756,0.0,172078,
hs_l2_diff_l19_ema09,-0.12285282220768325,0.0,172078,
hs_l2_diff_l3_rolling64,-0.12068515483008728,0.0,172078,rolling mean (window=64)
hs_l2_diff_l2_rolling64,-0.12066670985501608,0.0,172078,rolling mean (window=64)
kv_val_var_ema09,-0.1149812918560096,0.0,172078,
hs_l2_diff_l23,-0.11240927271092874,0.0,172078,
hs_l2_diff_l10_rolling64,0.11210610955370431,0.0,172078,rolling mean (window=64)
hs_l2_diff_l4_ema09,-0.10992272675459126,0.0,172078,
hs_l2_diff_l30_ema09,0.1060968654606977,0.0,172078,
hs_l2_diff_l24,-0.10585652945791958,0.0,172078,
hs_cos_dist_l1,-0.10470770280566215,0.0,172078,
hs_l2_diff_l25,-0.10111539472608894,0.0,172078,
hs_cos_dist,0.09579627392235059,0.0,172078,
hs_cos_dist_l31,0.09579627392235059,0.0,172078,
hs_l2_diff_l22,-0.09464985799538388,0.0,172078,
hs_l2_diff_l31,0.09375309410230893,0.0,172078,
hs_l2_diff,0.09375309410230893,0.0,172078,
hs_l2_diff_l11_rolling64,0.09249949048344577,0.0,172078,rolling mean (window=64)
hs_l2_diff_l21,-0.08537517261175483,9.963753402293988e-276,172078,
hs_l2_diff_l10_ema09,0.08394050360005842,1.4057351276227882e-266,172078,
hs_l2_diff_l26,-0.08341358717880815,2.9433835180937328e-263,172078,
hs_l2_diff_l3_ema09,-0.08340189400816062,3.4858131307005804e-263,172078,
hs_l2_diff_l9_rolling64,0.08239006005545,7.231599828284535e-257,172078,rolling mean (window=64)
hs_l2_diff_l29_rolling64,0.08231972884634682,1.9743090037795532e-256,172078,rolling mean (window=64)
hs_l2_diff_l2_ema09,-0.08078452851200259,5.278899114032734e-247,172078,
