signal,spearman_rho,p_value,n_pairs,note
attn_entropy,-0.178496072238489,0.0,46046,
kv_key_var_rolling64,-0.15128160840685395,8.092892698107283e-234,46046,rolling mean (window=64)
kv_key_var_ema09,-0.14903163887462373,6.703043771595377e-227,46046,
cross_head_var,-0.12394042365450814,4.989757982470697e-157,46046,
kv_key_var,-0.12252491156419121,1.7579559655870017e-153,46046,
kv_key_norm,-0.12173567212516857,1.6012915088025972e-151,46046,
hs_l2_diff_rolling64,0.08267186770814268,1.2080783667649267e-70,46046,rolling mean (window=64)
hs_l2_diff_ema09,0.06808420980513187,1.9085620741657918e-48,46046,
hs_cos_dist,0.0674173213993901,1.5581201571750586e-47,46046,
hs_norm,-0.04088171337890119,1.6944578546218374e-18,46046,
hs_l2_diff,0.032948701273565466,1.527498316242161e-12,46046,
kv_val_var_rolling64,0.02452856955975472,1.4090010354501348e-07,46046,rolling mean (window=64)
h2o_attn,0.023020411136921756,7.799578318482273e-07,46046,
kv_val_var_ema09,0.019221036740871483,3.71084669269765e-05,46046,
kv_val_var,0.011154432560577372,0.016685541972337868,46046,
