signal,spearman_rho,p_value,n_pairs,note
hs_l2_diff_rolling64,-0.21382499292933158,0.0,73005,rolling mean (window=64)
kv_key_var_rolling64,-0.21027648281318934,0.0,73005,rolling mean (window=64)
kv_key_var_ema09,-0.20415425708076426,0.0,73005,
hs_l2_diff_ema09,-0.18540231050445702,0.0,73005,
kv_key_var,-0.1695160539273555,0.0,73005,
kv_key_norm,-0.16890503817401054,0.0,73005,
cross_head_var,-0.15093335420096973,0.0,73005,
hs_l2_diff,-0.09885315599809853,6.368325194608058e-158,73005,
hs_norm,-0.08049037324122221,3.3615145355114214e-105,73005,
hs_cos_dist,-0.0633609131524485,7.902489081824204e-66,73005,
kv_val_var_rolling64,0.014969958174030212,5.2332982867081735e-05,73005,rolling mean (window=64)
kv_val_var_ema09,0.013573021980941626,0.0002449715598969001,73005,
kv_val_var,0.006565895154928628,0.07605377554787825,73005,
