signal,spearman_rho,p_value,n_pairs,note
kv_key_var_cumsum,-0.6043372952296615,0.0,3318,
kv_val_var_cumsum,-0.6043372952296615,0.0,3318,
hs_l2_diff_cumsum,-0.6043372951800284,0.0,3318,
kv_key_var_ema09,-0.3151565352343845,2.0744556210740656e-77,3318,
kv_val_var_ema09,0.22533308322771345,1.8384132321963867e-39,3318,
kv_key_norm,-0.22362396893728426,7.072070964306467e-39,3318,
kv_key_var,-0.22212201998088643,2.289327226580564e-38,3318,
cross_head_var,-0.19922195989674094,4.762070341547536e-31,3318,
hs_norm,0.07807026999128372,6.725734864853226e-06,3318,
hs_cos_dist,-0.06376688222333284,0.00023741930351114853,3318,
kv_val_var,0.05904696453096453,0.0006667082513726764,3318,
hs_l2_diff_ema09,-0.023954531821329325,0.16773788720242255,3318,
hs_l2_diff,-0.0021023832377994956,0.9036465551480424,3318,
