signal,spearman_rho,p_value,n_pairs,note
hs_l2_diff_l3_rolling64,0.2132350722865343,1.082574581971012e-174,17065,rolling mean (window=64)
hs_l2_diff_l7_rolling64,0.17658712078754416,1.444156415279806e-119,17065,rolling mean (window=64)
hs_l2_diff_l3_ema09,0.17520371390797515,1.0563065005152786e-117,17065,
hs_l2_diff_l4_rolling64,0.17427584012159075,1.8425529373875333e-116,17065,rolling mean (window=64)
hs_l2_diff_l2_rolling64,0.17202530243728725,1.7700462957242047e-113,17065,rolling mean (window=64)
hs_l2_diff_l31_rolling64,0.1591883013342101,3.020866757381129e-97,17065,rolling mean (window=64)
hs_l2_diff_rolling64,0.1591883013342101,3.020866757381129e-97,17065,rolling mean (window=64)
hs_l2_diff_l6_rolling64,0.15872381465945384,1.103333785576672e-96,17065,rolling mean (window=64)
hs_l2_diff_l8_rolling64,0.15496252503401048,3.427361367639322e-92,17065,rolling mean (window=64)
hs_l2_diff_l5_rolling64,0.15412899372199443,3.2752380718153584e-91,17065,rolling mean (window=64)
hs_l2_diff_l4_ema09,0.14474554607774762,1.4827395925654778e-80,17065,
hs_l2_diff_l2_ema09,0.1447020033972643,1.6553561714861546e-80,17065,
hs_l2_diff_ema09,0.1424513871727737,4.684054675301623e-78,17065,
hs_l2_diff_l31_ema09,0.1424513871727737,4.684054675301623e-78,17065,
hs_l2_diff_l1_rolling64,0.1371217128159785,2.0797104571018374e-72,17065,rolling mean (window=64)
hs_l2_diff_l7_ema09,0.1363781257276132,1.2252831789720413e-71,17065,
hs_l2_diff_l11_rolling64,0.12884937321799114,4.40475899405548e-64,17065,rolling mean (window=64)
hs_l2_diff_l6_ema09,0.1255241230107731,6.930855090932731e-61,17065,
hs_l2_diff_l9_rolling64,0.12409908983131923,1.5296046209239974e-59,17065,rolling mean (window=64)
hs_l2_diff_l8_ema09,0.11838104995053453,2.6234176731648476e-54,17065,
hs_l2_diff_l1_ema09,0.1164985987134782,1.2215978348027247e-52,17065,
hs_l2_diff_l0_rolling64,0.11371035919092776,3.217882738227665e-50,17065,rolling mean (window=64)
hs_l2_diff_l5_ema09,0.11343455746512474,5.543283878640079e-50,17065,
attn_entropy,0.11258267916662203,2.9487177025605434e-49,17065,
