signal,spearman_rho,p_value,n_pairs,note
hs_l2_diff_l0_rolling64,0.2719299334364317,0.0,36224,rolling mean (window=64)
hs_l2_diff_l31_rolling64,0.2598897770402863,0.0,36224,rolling mean (window=64)
hs_l2_diff_rolling64,0.2598897770402863,0.0,36224,rolling mean (window=64)
hs_l2_diff_l31_ema09,0.22640995928229082,0.0,36224,
hs_l2_diff_ema09,0.22640995928229082,0.0,36224,
hs_l2_diff_l0_ema09,0.20653447251627505,0.0,36224,
hs_l2_diff_l1_rolling64,0.20332518936664914,0.0,36224,rolling mean (window=64)
hs_l2_diff_l2_rolling64,0.1755133344047116,1.8661085207657444e-248,36224,rolling mean (window=64)
hs_l2_diff_l28_rolling64,0.16540569159380167,1.6299357427849398e-220,36224,rolling mean (window=64)
hs_l2_diff_l29_rolling64,0.16399284794474409,9.516372127627473e-217,36224,rolling mean (window=64)
kv_val_var_rolling64,0.16072880935157172,3.5449100385549554e-208,36224,rolling mean (window=64)
hs_l2_diff_l1_ema09,0.15263351355578422,1.0651599146134345e-187,36224,
hs_l2_diff_l3_rolling64,0.15165249831634728,2.7150135465221615e-185,36224,rolling mean (window=64)
hs_l2_diff_l7_rolling64,0.14108809629245186,2.1058911519074962e-160,36224,rolling mean (window=64)
hs_l2_diff_l30_rolling64,0.13961430213094994,4.4392782830119076e-157,36224,rolling mean (window=64)
hs_l2_diff_l29_ema09,0.13664511134881074,1.713743154831104e-150,36224,
hs_l2_diff_l28_ema09,0.13626653644662626,1.1566723529304865e-149,36224,
hs_l2_diff_l4_rolling64,0.13583238990387925,1.0262979715843771e-148,36224,rolling mean (window=64)
hs_l2_diff_l8_rolling64,0.13564490210020075,2.6286350616253962e-148,36224,rolling mean (window=64)
hs_l2_diff_l2_ema09,0.13468273967274622,3.2114076026442184e-146,36224,
hs_l2_diff_l7_ema09,0.1306080368523212,1.4954655721236105e-137,36224,
kv_val_var_ema09,0.12558734836082527,3.0048111320110013e-127,36224,
hs_l2_diff_l30_ema09,0.12302907261337728,3.6978004091105373e-122,36224,
hs_l2_diff_l8_ema09,0.12264001426319726,2.1508647015932986e-121,36224,
hs_l2_diff_l3_ema09,0.11930790350442375,6.0239230720337935e-115,36224,
hs_l2_diff_l6_rolling64,0.11639462555999758,1.8519957648133908e-109,36224,rolling mean (window=64)
hs_l2_diff_l27_rolling64,0.11467221913884672,2.797961139791982e-106,36224,rolling mean (window=64)
hs_l2_diff_l4_ema09,0.11021590409303487,2.802573505911564e-98,36224,
hs_l2_diff_l6_ema09,0.10607652100763168,3.8868375503823785e-91,36224,
hs_l2_diff,0.10278511640096115,1.1748431784824549e-85,36224,
hs_l2_diff_l31,0.10278511640096115,1.1748431784824549e-85,36224,
hs_l2_diff_l9_rolling64,0.09863219247336234,5.426297593423676e-79,36224,rolling mean (window=64)
hs_l2_diff_l5_rolling64,0.09715934162152631,1.0743345652441491e-76,36224,rolling mean (window=64)
hs_l2_diff_l27_ema09,0.08918310354153668,7.265546333814387e-65,36224,
hs_l2_diff_l9_ema09,0.08759415536053695,1.2466973325003248e-62,36224,
hs_l2_diff_l5_ema09,0.08722548186424486,4.059061207437864e-62,36224,
hs_l2_diff_l0,0.08362978631491715,3.1205788040518335e-57,36224,
hs_cos_dist_l0,0.08031149403840823,6.599481485294708e-53,36224,
hs_cos_dist_l30,0.0734872310129231,1.4530286632127876e-44,36224,
hs_norm,0.07069796483255011,2.2841044663384985e-41,36224,
hs_l2_diff_l15_rolling64,-0.06985338828944819,2.0053893295786362e-40,36224,rolling mean (window=64)
hs_l2_diff_l1,0.06853930447448589,5.593125969803258e-39,36224,
hs_l2_diff_l16_rolling64,-0.06497253708576413,3.411637666231792e-35,36224,rolling mean (window=64)
hs_cos_dist_l31,0.06406365827163825,2.9195201369832004e-34,36224,
hs_cos_dist,0.06406365827163825,2.9195201369832004e-34,36224,
hs_l2_diff_l2,0.05990750300754199,3.650367216353529e-30,36224,
hs_l2_diff_l17_rolling64,-0.05842627275605553,9.047971161977654e-29,36224,rolling mean (window=64)
hs_cos_dist_l28,0.05838147223978255,9.958194663595394e-29,36224,
hs_cos_dist_l29,0.058253011533518244,1.3103067630471173e-28,36224,
hs_l2_diff_l10_rolling64,0.05793073415168641,2.6016745369817974e-28,36224,rolling mean (window=64)
hs_l2_diff_l7,0.05717881269141939,1.2702366697042648e-27,36224,
hs_l2_diff_l19_rolling64,-0.05622722737352537,9.174902109594902e-27,36224,rolling mean (window=64)
kv_key_var_rolling64,0.055788685409370195,2.2570600877588607e-26,36224,rolling mean (window=64)
kv_key_var_preRoPE_rolling64,0.05570087064332722,2.700612988408138e-26,36224,rolling mean (window=64)
kv_key_norm_rolling64,0.05569315356785988,2.7434939929016006e-26,36224,rolling mean (window=64)
