signal,spearman_rho,p_value,n_pairs,note
kv_key_norm_preRoPE_rolling64,0.2144695786198148,0.0,191509,rolling mean (window=64)
kv_key_var_preRoPE_rolling64,0.2144239202439773,0.0,191509,rolling mean (window=64)
kv_key_var_rolling64,0.21412858056810002,0.0,191509,rolling mean (window=64)
kv_key_norm_rolling64,0.21399089664570278,0.0,191509,rolling mean (window=64)
hs_l2_diff_l1_rolling64,-0.20165193383843485,0.0,191509,rolling mean (window=64)
hs_l2_diff_l0_rolling64,-0.1987818796697049,0.0,191509,rolling mean (window=64)
kv_key_var_preRoPE_ema09,0.1928246046248888,0.0,191509,
kv_key_norm_preRoPE_ema09,0.192818419521157,0.0,191509,
kv_key_var_ema09,0.19254396366497117,0.0,191509,
kv_key_norm_ema09,0.19234486437046244,0.0,191509,
attn_entropy,0.17596060765237032,0.0,191509,
hs_l2_diff_l23_rolling64,-0.15145870537428496,0.0,191509,rolling mean (window=64)
hs_l2_diff_l2_rolling64,-0.1508169839374077,0.0,191509,rolling mean (window=64)
kv_key_norm_preRoPE,0.1503963670226299,0.0,191509,
kv_key_var_preRoPE,0.1501590336553876,0.0,191509,
kv_key_norm,0.14999518151523883,0.0,191509,
kv_key_var,0.14995662674856305,0.0,191509,
hs_l2_diff_l24_rolling64,-0.14644898038135118,0.0,191509,rolling mean (window=64)
kv_val_var_rolling64,-0.1454537137540689,0.0,191509,rolling mean (window=64)
hs_l2_diff_l11_rolling64,0.14377601078653166,0.0,191509,rolling mean (window=64)
hs_l2_diff_l1_ema09,-0.14370313933548504,0.0,191509,
hs_l2_diff_l25_rolling64,-0.14195141432888292,0.0,191509,rolling mean (window=64)
hs_l2_diff_l10_rolling64,0.14113626136945978,0.0,191509,rolling mean (window=64)
hs_l2_diff_l0_ema09,-0.14101134752494823,0.0,191509,
hs_l2_diff_l4_rolling64,-0.13874669797821598,0.0,191509,rolling mean (window=64)
hs_l2_diff_l3_rolling64,-0.1238895002619452,0.0,191509,rolling mean (window=64)
hs_l2_diff_l23_ema09,-0.1238128147219605,0.0,191509,
hs_l2_diff_l22_rolling64,-0.12138477457349646,0.0,191509,rolling mean (window=64)
kv_val_var_ema09,-0.12030756174147386,0.0,191509,
hs_l2_diff_l24_ema09,-0.11779758715775317,0.0,191509,
hs_cos_dist_l0,-0.11773050852707559,0.0,191509,
hs_l2_diff_l25_ema09,-0.11467817948352403,0.0,191509,
hs_l2_diff_l21_rolling64,-0.10895650759526743,0.0,191509,rolling mean (window=64)
hs_l2_diff_l9_rolling64,0.10717624286959329,0.0,191509,rolling mean (window=64)
hs_l2_diff_l26_rolling64,-0.10700073826539404,0.0,191509,rolling mean (window=64)
hs_l2_diff_l2_ema09,-0.10406230236094624,0.0,191509,
hs_l2_diff_l10_ema09,0.10091429018688636,0.0,191509,
cross_head_var,0.1006098026116128,0.0,191509,
hs_l2_diff_l22_ema09,-0.0987962475775228,0.0,191509,
hs_l2_diff_l11_ema09,0.09877880774046716,0.0,191509,
hs_l2_diff_l20_rolling64,-0.09705954801147106,0.0,191509,rolling mean (window=64)
hs_l2_diff_l4_ema09,-0.0968705435244787,0.0,191509,
hs_cos_dist_l1,-0.09376065833054845,0.0,191509,
hs_l2_diff_rolling64,0.09248926827732484,0.0,191509,rolling mean (window=64)
hs_l2_diff_l31_rolling64,0.09248926827732484,0.0,191509,rolling mean (window=64)
hs_l2_diff_ema09,0.09196902565100662,0.0,191509,
hs_l2_diff_l31_ema09,0.09196902565100662,0.0,191509,
hs_l2_diff_l13_rolling64,0.08946804265649064,0.0,191509,rolling mean (window=64)
hs_l2_diff_l21_ema09,-0.08924805584608658,0.0,191509,
hs_l2_diff_l3_ema09,-0.0853653504614718,1.506999247295266e-306,191509,
hs_l2_diff_l26_ema09,-0.08409856830480016,1.501123558911152e-297,191509,
hs_l2_diff_l9_ema09,0.08092857210804988,1.2501577902941478e-275,191509,
hs_l2_diff_l20_ema09,-0.08072567506569397,2.9578981840331377e-274,191509,
hs_l2_diff_l8_rolling64,0.07809499690065504,9.336713535427374e-257,191509,rolling mean (window=64)
hs_l2_diff_l12_rolling64,0.07703774695100804,6.885750121924e-250,191509,rolling mean (window=64)
hs_l2_diff_l19_rolling64,-0.07356980642486453,5.031883384927202e-228,191509,rolling mean (window=64)
hs_l2_diff_l1,-0.06977283458517401,2.9863815384345733e-205,191509,
hs_l2_diff_l30_rolling64,0.0654710937724272,6.420949370904915e-181,191509,rolling mean (window=64)
hs_l2_diff_l0,-0.06301530712885133,1.0003683604133956e-167,191509,
hs_l2_diff_l8_ema09,0.06274393721020946,2.6721020678627125e-166,191509,
hs_l2_diff_l19_ema09,-0.06157374161318159,3.221997743597622e-160,191509,
hs_l2_diff_l23,-0.060747308047105646,5.415280861524159e-156,191509,
hs_cos_dist_l2,-0.0588343523811138,1.969777542294964e-146,191509,
hs_l2_diff_l5_rolling64,-0.05805679346800793,1.2382358483725168e-142,191509,rolling mean (window=64)
hs_l2_diff_l24,-0.05793160668841658,5.007280667620631e-142,191509,
hs_cos_dist_l31,0.05632797916029366,2.271756501948494e-134,191509,
hs_cos_dist,0.05632797916029366,2.271756501948494e-134,191509,
hs_l2_diff_l25,-0.05613346470965597,1.863961390239307e-133,191509,
hs_l2_diff_l13_ema09,0.05229451882685508,4.591939804140784e-116,191509,
h2o_attn,0.050105184016394425,1.0663156710244371e-106,191509,
hs_l2_diff_l2,-0.0500667088155107,1.544884790108836e-106,191509,
hs_l2_diff_l12_ema09,0.04891841300666359,8.655435181759304e-102,191509,
hs_l2_diff_l29_rolling64,0.0486632335124083,9.495723137276962e-101,191509,rolling mean (window=64)
hs_cos_dist_l3,-0.0484183296477166,9.34889517941532e-100,191509,
hs_l2_diff_l22,-0.04722469080728204,5.494624935023977e-95,191509,
hs_l2_diff_l7_rolling64,0.04674681217291925,4.12983505884177e-93,191509,rolling mean (window=64)
hs_l2_diff_l18_rolling64,-0.04508839179249127,9.515137809632098e-87,191509,rolling mean (window=64)
hs_l2_diff_l30_ema09,0.042802907741143974,2.3466910532989784e-78,191509,
hs_l2_diff_l21,-0.04253332308704869,2.1459086540168767e-77,191509,
hs_l2_diff,0.042532654269454184,2.1576859962711916e-77,191509,
hs_l2_diff_l31,0.042532654269454184,2.1576859962711916e-77,191509,
hs_l2_diff_l26,-0.0413716223294648,2.535876651807982e-73,191509,
hs_l2_diff_l10,0.04102543812059064,3.9443205990189384e-72,191509,
hs_l2_diff_l18_ema09,-0.04026755777430774,1.480268013611741e-69,191509,
