signal,spearman_rho,p_value,n_pairs,note
kv_key_var_rolling64,0.3181546925559398,0.0,159984,rolling mean (window=64)
kv_key_var_ema09,0.2914863398375382,0.0,159984,
attn_entropy,0.2668749214596491,0.0,159984,
kv_key_var,0.23413289234104873,0.0,159984,
kv_key_norm,0.23374429391809076,0.0,159984,
hs_l2_diff_rolling64,0.1847944295085083,0.0,159984,rolling mean (window=64)
hs_l2_diff_ema09,0.17693028570284944,0.0,159984,
cross_head_var,0.16368243120105638,0.0,159984,
kv_val_var_rolling64,-0.14077053138897638,0.0,159984,rolling mean (window=64)
kv_val_var_ema09,-0.12157566284813295,0.0,159984,
hs_cos_dist,0.08876567244209149,3.4798203650327613e-277,159984,
hs_l2_diff,0.08150745854412128,6.707873370089911e-234,159984,
h2o_attn,0.07056229146548194,1.1187735250221787e-175,159984,
kv_val_var,-0.03491410510066601,2.40671407873828e-44,159984,
hs_norm,0.007751276419507933,0.0019327389105026436,159984,
