signal,spearman_rho,p_value,n_pairs,note
kv_key_norm_rolling64,-0.20267415485320894,0.0,82651,rolling mean (window=64)
kv_key_norm_preRoPE_rolling64,-0.2025843316960299,0.0,82651,rolling mean (window=64)
kv_key_var_rolling64,-0.20222392840773865,0.0,82651,rolling mean (window=64)
kv_key_var_preRoPE_rolling64,-0.20187994984489885,0.0,82651,rolling mean (window=64)
kv_key_norm_ema09,-0.1834357137147211,0.0,82651,
kv_key_norm_preRoPE_ema09,-0.1833496986076329,0.0,82651,
kv_key_var_ema09,-0.18325033577135758,0.0,82651,
kv_key_var_preRoPE_ema09,-0.18294103325112862,0.0,82651,
hs_l2_diff_l31_rolling64,-0.17827276638733483,0.0,82651,rolling mean (window=64)
hs_l2_diff_rolling64,-0.17827276638733483,0.0,82651,rolling mean (window=64)
hs_l2_diff_l31_ema09,-0.15166980457479867,0.0,82651,
hs_l2_diff_ema09,-0.15166980457479867,0.0,82651,
hs_l2_diff_l17_rolling64,-0.1470550031931644,0.0,82651,rolling mean (window=64)
hs_l2_diff_l8_rolling64,0.1455948138680351,0.0,82651,rolling mean (window=64)
hs_l2_diff_l16_rolling64,-0.13952227912672593,0.0,82651,rolling mean (window=64)
kv_key_var,-0.13936882456365343,0.0,82651,
kv_key_var_preRoPE,-0.13910193098796536,0.0,82651,
kv_key_norm,-0.13897060462159622,0.0,82651,
kv_key_norm_preRoPE,-0.13890103405453935,0.0,82651,
hs_l2_diff_l9_rolling64,0.13597594683267997,0.0,82651,rolling mean (window=64)
hs_l2_diff_l15_rolling64,-0.12433175456394774,5.624037499093462e-282,82651,rolling mean (window=64)
hs_l2_diff_l30_rolling64,-0.12089743828208115,1.2817986058223705e-266,82651,rolling mean (window=64)
hs_l2_diff_l6_rolling64,0.12015588531513553,2.322056552100723e-263,82651,rolling mean (window=64)
hs_l2_diff_l12_rolling64,0.11906439585297422,1.330218546025318e-258,82651,rolling mean (window=64)
hs_l2_diff_l7_rolling64,0.11813788000605982,1.342225854549427e-254,82651,rolling mean (window=64)
hs_l2_diff_l18_rolling64,-0.11797493842848261,6.739862267447851e-254,82651,rolling mean (window=64)
hs_l2_diff_l17_ema09,-0.11781237541372742,3.3640216125199194e-253,82651,
hs_l2_diff_l19_rolling64,-0.11286150670244037,2.0799545495640448e-232,82651,rolling mean (window=64)
hs_l2_diff_l16_ema09,-0.1081844828355862,1.3189712608650937e-213,82651,
hs_l2_diff_l8_ema09,0.10530732813496146,1.9183611514805491e-202,82651,
kv_val_var_rolling64,0.10511247256345835,1.0661612169005119e-201,82651,rolling mean (window=64)
hs_l2_diff_l20_rolling64,-0.10454076342782823,1.6040831630371784e-199,82651,rolling mean (window=64)
hs_l2_diff_l2_rolling64,-0.10080684438579826,1.3444228447629504e-185,82651,rolling mean (window=64)
hs_l2_diff_l29_rolling64,-0.09930162641959932,3.939860120268775e-180,82651,rolling mean (window=64)
hs_l2_diff_l10_rolling64,0.0970142189042726,5.535694584310371e-172,82651,rolling mean (window=64)
hs_l2_diff_l18_ema09,-0.09555463183816985,6.939463986609634e-167,82651,
hs_l2_diff_l15_ema09,-0.09506464743087316,3.429082677836756e-165,82651,
hs_l2_diff_l19_ema09,-0.09462608186782753,1.1060568936082853e-163,82651,
cross_head_var,-0.09383516868790152,5.578232811895858e-161,82651,
hs_l2_diff_l30_ema09,-0.09203197223564079,6.642543209417696e-155,82651,
hs_l2_diff_l9_ema09,0.09152273326752051,3.2851224275180293e-153,82651,
hs_l2_diff_l1_rolling64,-0.08941037508318235,2.7703562578265767e-146,82651,rolling mean (window=64)
hs_l2_diff_l6_ema09,0.08906262757797732,3.689932985117001e-145,82651,
hs_l2_diff_l20_ema09,-0.08824784877475245,1.5286933289990206e-142,82651,
kv_val_var_ema09,0.08659270532660601,2.667673133838138e-137,82651,
hs_l2_diff_l21_rolling64,-0.08533663280505167,2.1730610272725096e-133,82651,rolling mean (window=64)
hs_l2_diff_l7_ema09,0.08502729587001383,1.9559654519655018e-132,82651,
hs_l2_diff_l11_rolling64,0.08340700053849963,1.7086571986280995e-127,82651,rolling mean (window=64)
hs_l2_diff_l5_rolling64,0.08306700105689735,1.808545817403157e-126,82651,rolling mean (window=64)
hs_l2_diff_l2_ema09,-0.07509471339811404,1.1839276516199688e-103,82651,
hs_l2_diff_l12_ema09,0.07432609840301445,1.4141788174200855e-101,82651,
hs_l2_diff_l29_ema09,-0.07342600321748889,3.5946766826816803e-99,82651,
hs_l2_diff_l21_ema09,-0.07260244968238026,5.375906050499566e-97,82651,
hs_l2_diff_l31,-0.07212694712871037,9.438273414094485e-96,82651,
hs_l2_diff,-0.07212694712871037,9.438273414094485e-96,82651,
hs_l2_diff_l0_rolling64,-0.06767845580359172,1.6554803001292588e-84,82651,rolling mean (window=64)
hs_l2_diff_l5_ema09,0.06481026459482486,1.2235360641920504e-77,82651,
hs_l2_diff_l1_ema09,-0.060546885802182975,5.578915632454963e-68,82651,
hs_l2_diff_l10_ema09,0.059449447793462444,1.3378116063041e-65,82651,
hs_l2_diff_l22_rolling64,-0.05907218438035976,8.599024659732117e-65,82651,rolling mean (window=64)
hs_l2_diff_l13_rolling64,0.057574482919986805,1.2348176093770619e-61,82651,rolling mean (window=64)
hs_cos_dist,-0.05610798265011506,1.271940736810221e-58,82651,
hs_cos_dist_l31,-0.05610798265011506,1.271940736810221e-58,82651,
hs_l2_diff_l22_ema09,-0.05047573056182757,9.005214308800476e-48,82651,
hs_l2_diff_l11_ema09,0.05025338069134943,2.2875816927088154e-47,82651,
hs_l2_diff_l17,-0.04720101553603123,5.465982382506803e-42,82651,
hs_l2_diff_l16,-0.041786857875801754,2.8439956269842187e-33,82651,
hs_l2_diff_l8,0.04132007269575978,1.4327331138780277e-32,82651,
hs_l2_diff_l0_ema09,-0.040959617263722985,4.932821791639218e-32,82651,
hs_l2_diff_l28_rolling64,-0.04058504863398182,1.7624489467737237e-31,82651,rolling mean (window=64)
hs_l2_diff_l27_rolling64,-0.040511342033319034,2.261240535553533e-31,82651,rolling mean (window=64)
hs_l2_diff_l18,-0.03817689626114084,4.803924407931523e-28,82651,
hs_norm,-0.03816596591119827,4.974120984184345e-28,82651,
hs_l2_diff_l19,-0.03799254763325574,8.630535280787033e-28,82651,
hs_l2_diff_l15,-0.036608472902083834,6.420325646010927e-26,82651,
hs_l2_diff_l20,-0.036463429107812466,9.993532979968757e-26,82651,
hs_l2_diff_l30,-0.03537486646818327,2.61772114328818e-24,82651,
hs_l2_diff_l13_ema09,0.03509941038512573,5.8895993551019036e-24,82651,
hs_l2_diff_l9,0.03501272731810398,7.591842733227259e-24,82651,
hs_l2_diff_l6,0.035000339553361626,7.871955350555368e-24,82651,
hs_l2_diff_l7,0.033704806810126976,3.2470542043681086e-22,82651,
hs_l2_diff_l27_ema09,-0.031523075161569235,1.2493409907280954e-19,82651,
hs_l2_diff_l21,-0.03150817615916788,1.2994285839761614e-19,82651,
hs_l2_diff_l28_ema09,-0.031151987641286426,3.3076896764620187e-19,82651,
hs_l2_diff_l2,-0.02945040350237672,2.4872103945334312e-17,82651,
hs_l2_diff_l5,0.026698973377104238,1.6290398723061386e-14,82651,
hs_cos_dist_l7,0.025942820712132268,8.687341963184607e-14,82651,
kv_val_var,0.02574742388963913,1.328766783342318e-13,82651,
hs_l2_diff_l1,-0.025338540572695863,3.201028114191924e-13,82651,
hs_l2_diff_l12,0.02399946528219547,5.181377036558012e-12,82651,
hs_cos_dist_l11,0.023713298895390467,9.218024245036508e-12,82651,
hs_l2_diff_l29,-0.02343004525243116,1.619719360207678e-11,82651,
hs_cos_dist_l26,0.023223265994506234,2.434236013031773e-11,82651,
hs_l2_diff_l22,-0.022628421246890313,7.707605688014384e-11,82651,
hs_cos_dist_l27,0.02259908888459001,8.152298328140734e-11,82651,
hs_cos_dist_l6,0.022226216487484823,1.6531499452733622e-10,82651,
hs_cos_dist_l30,-0.02172886991953464,4.170882743440867e-10,82651,
hs_l2_diff_l10,0.021496835410652105,6.379188395747077e-10,82651,
hs_cos_dist_l25,0.021428046998173654,7.229520570269338e-10,82651,
hs_l2_diff_l23_rolling64,-0.02142322631852375,7.293091945977899e-10,82651,rolling mean (window=64)
hs_l2_diff_l14_rolling64,-0.019859941715296967,1.1295715114141588e-08,82651,rolling mean (window=64)
hs_cos_dist_l4,0.01918197583271499,3.4864735756482425e-08,82651,
hs_l2_diff_l23_ema09,-0.018609405284084512,8.775205257692534e-08,82651,
hs_l2_diff_l11,0.01849332363229858,1.0547124355071666e-07,82651,
hs_l2_diff_l0,-0.016995045984679918,1.028010320403621e-06,82651,
hs_cos_dist_l9,0.015691879933871583,6.43763326693716e-06,82651,
hs_cos_dist_l2,-0.015481487121691066,8.547707524553025e-06,82651,
hs_cos_dist_l23,0.0149834647721409,1.648968359364588e-05,82651,
hs_cos_dist_l24,0.01462983389994226,2.5980940936785968e-05,82651,
hs_cos_dist_l16,-0.01398847076743184,5.778120067890597e-05,82651,
hs_cos_dist_l10,0.013927932521832657,6.220478865233471e-05,82651,
hs_l2_diff_l3_rolling64,-0.013731824981456966,7.883948619650021e-05,82651,rolling mean (window=64)
hs_cos_dist_l8,0.013652043646667625,8.6743635230749e-05,82651,
hs_cos_dist_l17,-0.012206540577967426,0.00044920906942643016,82651,
hs_l2_diff_l4_ema09,0.012177378725353637,0.0004635818642526317,82651,
hs_l2_diff_l14_ema09,-0.012047703747774204,0.0005328436653089671,82651,
hs_cos_dist_l5,0.01175374345103027,0.0007270780353011555,82651,
hs_l2_diff_l4_rolling64,0.011410225316508971,0.0010366266539751682,82651,rolling mean (window=64)
hs_cos_dist_l19,-0.01062675407671371,0.0022495937325804397,82651,
hs_cos_dist_l18,-0.010249542285812608,0.0032120266095270887,82651,
hs_cos_dist_l13,0.009439722864270222,0.006650556028380857,82651,
hs_cos_dist_l28,0.009141221899245301,0.00858801871410269,82651,
hs_l2_diff_l23,-0.008944654973426926,0.010125340666965693,82651,
hs_l2_diff_l4,0.00893758429572804,0.010184940911122134,82651,
hs_cos_dist_l1,-0.008397958620895983,0.015763637416578463,82651,
hs_l2_diff_l3_ema09,-0.008124696742330718,0.019502744322748067,82651,
hs_l2_diff_l13,0.007865087633302941,0.02375048676006692,82651,
hs_cos_dist_l12,0.007775064244535546,0.02540028739195683,82651,
hs_l2_diff_l28,-0.007597586062774558,0.028944976271974437,82651,
hs_cos_dist_l20,-0.007541836167698443,0.030142934602288694,82651,
hs_cos_dist_l29,-0.007515338855163948,0.03072709160127524,82651,
hs_l2_diff_l14,-0.007301559834936185,0.03580561737544643,82651,
